"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,CSCDEP,"CSCDEP Program Learning Outcomes","Competency framework representing the Command and Staff College Distance Education Program (CSCDEP) Program Learning Outcomes (PLOs) and their subordinate Student Learning Outcomes (SLOs). The framework captures the full set of knowledge, skills, abilities, and professional behaviors expected of CSCDEP graduates.",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency"
,PLO1,"PLO 1: War & Conflict","Analyze the enduring nature and changing character of competition, conflict, and war to develop a historically informed perspective on current and future military competition and conflict, including conventional warfare, irregular warfare, deterrence, and the interaction of political, military, economic, social, and technological factors.",1,,,,0,null,,90,,
PLO1,SLO1-1,"SLO 1.1","Analyze the enduring nature and evolving character of military competition, conflict, and war, including conventional war, irregular warfare, and deterrence, as a product of interrelated political, military, economic, social, and technological activities characterized by uncertainty and surprise.",1,,,,0,null,,91,,
PLO1,SLO1-2,"SLO 1.2","Analyze classic and emerging theories explaining the spectrum of competition, conflict, and war and evaluate their relevance to contemporary and future military challenges.",1,,,,0,null,,92,,
PLO1,SLO1-3,"SLO 1.3","Evaluate the practice of strategy and operational art in historical contexts, including the relationships among strategy, campaigns, and tactical actions.",1,,,,0,null,,93,,
PLO1,SLO1-4,"SLO 1.4","Evaluate historical processes of innovation and adaptation by military organizations in response to changing strategic, operational, and technological environments.",1,,,,0,null,,94,,
PLO1,SLO1-5,"SLO 1.5","Analyze current military, technological, and organizational developments and assess how they may influence the character of future conflict.",1,,,,0,null,,95,,
,PLO2,"PLO 2: Strategy & Policy","Analyze the evolving security environment and its implications for U.S. and adversary strategy and policy to inform the application of national power across the competition continuum.",1,,,,0,null,,96,,
PLO2,SLO2-1,"SLO 2.1","Analyze the global security environment and U.S. and adversary strategy, policy, and culture to identify challenges to U.S. national interests and potential approaches to countering adversaries.",1,,,,0,null,,97,,
PLO2,SLO2-2,"SLO 2.2","Analyze the contributions of diplomatic, informational, military, and economic instruments of national power to optimize the application of the military instrument within Joint, Interagency, Intergovernmental, and Multinational contexts.",1,,,,0,null,,98,,
PLO2,SLO2-3,"SLO 2.3","Understand national security decision-making processes, joint capabilities development, and military strategy formulation and assess how these processes influence campaign planning.",1,,,,0,null,,99,,
PLO2,SLO2-4,"SLO 2.4","Analyze U.S. and adversary irregular warfare approaches and assess their implications for competition and conflict.",1,,,,0,null,,100,,
,PLO3,"PLO 3: Doctrine & Capabilities","Analyze U.S. and adversary military doctrine, concepts, and capabilities across the competition continuum to support the employment of Marine, Naval, and Joint Warfighting forces to deter and defeat adversaries.",1,,,,0,null,,101,,
PLO3,SLO3-1,"SLO 3.1","Analyze U.S. Marine Corps and joint force concepts, doctrine, and capabilities for deterrence and for conducting conventional and irregular warfare within all-domain operating environments.",1,,,,0,null,,102,,
PLO3,SLO3-2,"SLO 3.2","Analyze adversary approaches and capabilities designed to contest or deny the achievement of U.S. and coalition objectives.",1,,,,0,null,,103,,
PLO3,SLO3-3,"SLO 3.3","Analyze command and control options for employing forces and evaluate how these options optimize mission command, decision-making, and operational tempo across all domains.",1,,,,0,null,,104,,
,PLO4,"PLO 4: Thinking & Problem Solving","Apply cognitive tools, systems thinking, planning processes, research methods, and communication skills to develop solutions to complex and uncertain problems facing commanders and senior staff officers.",1,,,,0,null,,105,,
PLO4,SLO4-1,"SLO 4.1","Apply critical and creative thinking informed by cognitive theories, analytical models, and structured problem-solving tools.",1,,,,0,null,,106,,
PLO4,SLO4-2,"SLO 4.2","Apply comprehensive research methodologies to inform analysis and evaluate data quality, assumptions, logic, and conclusions.",1,,,,0,null,,107,,
PLO4,SLO4-3,"SLO 4.3","Apply the Marine Corps Planning Process and the Joint Planning Process to develop collaborative, adaptive military solutions in complex and uncertain operational environments.",1,,,,0,null,,108,,
PLO4,SLO4-4,"SLO 4.4","Create clear, concise, and well-organized oral and written communications tailored to audience, purpose, and operational context.",1,,,,0,null,,109,,
,PLO5,"PLO 5: Leadership","Apply leadership theories, principles, and skills consistent with the values, ethics, and standards of the Profession of Arms to enhance performance as unit commanders and senior staff officers.",1,,,,0,null,,110,,
PLO5,SLO5-1,"SLO 5.1","Analyze the roles and obligations of military professionals within historical and contemporary civil-military contexts to reinforce U.S. military ethics and professional responsibility.",1,,,,0,null,,111,,
PLO5,SLO5-2,"SLO 5.2","Analyze culture, diversity, and organizational change as factors that affect leadership effectiveness and organizational performance.",1,,,,0,null,,112,,
PLO5,SLO5-3,"SLO 5.3","Analyze theories and practices that promote ethical decision-making and resilient leadership under conditions of crisis, complexity, and moral and physical stress.",1,,,,0,null,,113,,
PLO5,SLO5-4,"SLO 5.4","Analyze the Law of War, military ethics, and human behavior and assess their effects on operational effectiveness, discipline, and command climate.",1,,,,0,null,,114,,
PLO5,SLO5-5,"SLO 5.5","Apply leadership and communication approaches to inform, influence, persuade, and promote collaboration in support of organizational objectives.",1,,,,0,null,,115,,
